#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"thrL"	0.02	0.97	NaN	1	-	-	-
"lrp"	"thrB"	0.09	0.47	NaN	1	-	-	-
"lrp"	"thrC"	0.28	0.33	NaN	1	-	-	-
"lrp"	"yaaX"	0.79	1.06	NaN	1	-	-	-
"lrp"	"yaaA"	0.12	0.18	NaN	1	-	-	-
"lrp"	"yaaJ"	0.10	0.34	NaN	1	-	-	-
"lrp"	"talB"	-0.15	0.14	NaN	-1	-	-	-
"lrp"	"mog"	-0.11	0.12	NaN	-1	-	-	-
"lrp"	"yaaW"	0.12	0.44	NaN	1	-	-	-
"lrp"	"yaaI"	0.21	0.14	NaN	1	-	-	-
"lrp"	"dnaK"	0.84	0.77	NaN	1	-	-	-
"lrp"	"insL-1"	0.12	0.17	NaN	1	-	-	-
"lrp"	"nhaA"	0.22	0.22	NaN	1	-	-	-
"lrp"	"insAB-1"	0.59	0.94	NaN	1	-	-	-
"lrp"	"rpsT"	-0.38	1.02	NaN	-1	-	-	-
"lrp"	"ribF"	-0.16	0.41	NaN	-1	-	-	-
"lrp"	"ileS"	-0.05	0.27	NaN	-1	-	-	-
"lrp"	"lspA"	-0.33	0.29	NaN	-1	-	-	-
"lrp"	"rihC"	-0.16	0.29	NaN	-1	-	-	-
"lrp"	"dapB"	-1.29	2.24	NaN	-1	-	-	-
"lrp"	"carA"	-0.30	1.83	NaN	-1	-	-	-
"lrp"	"carB"	0.22	0.77	NaN	1	-	-	-
"lrp"	"caiF"	-0.49	0.33	NaN	-1	-	-	-
"lrp"	"caiE"	-0.09	0.32	NaN	-1	-	-	-
"lrp"	"caiT"	0.64	1.18	NaN	1	-	-	-
"lrp"	"fixA"	-0.32	0.50	NaN	-1	-	-	-
"lrp"	"yaaU"	0.60	1.06	NaN	1	-	-	-
"lrp"	"kefF"	0.49	0.51	NaN	1	-	-	-
"lrp"	"folA"	-0.01	0.36	NaN	-1	-	-	-
"lrp"	"apaH"	-0.14	0.52	NaN	-1	-	-	-
"lrp"	"apaG"	-0.03	0.08	NaN	-1	-	-	-
"lrp"	"rsmA"	-0.06	0.08	NaN	-1	-	-	-
"lrp"	"pdxA"	-0.76	0.69	NaN	-1	-	-	-
"lrp"	"surA"	-0.08	0.29	NaN	-1	-	-	-
"lrp"	"lptD"	-0.12	0.36	NaN	-1	-	-	-
"lrp"	"djlA"	-0.11	0.13	NaN	-1	-	-	-
"lrp"	"yabQ"	0.49	0.97	NaN	1	-	-	-
"lrp"	"rluA"	-0.65	0.59	NaN	-1	-	-	-
"lrp"	"rapA"	-0.12	0.58	NaN	-1	-	-	-
"lrp"	"polB"	-0.15	0.63	NaN	-1	-	-	-
"lrp"	"araB"	0.43	0.37	NaN	1	-	-	-
"lrp"	"araC"	0.02	0.52	NaN	1	-	-	-
"lrp"	"yabI"	0.58	0.94	NaN	1	-	-	-
"lrp"	"thiQ"	-0.87	0.91	NaN	-1	-	-	-
"lrp"	"sroA"	0.17	0.37	NaN	1	-	-	-
"lrp"	"sgrR"	-0.17	0.09	NaN	-1	-	-	-
"lrp"	"sgrS"	-0.01	0.69	NaN	-1	-	-	-
"lrp"	"leuD"	1.74	1.66	NaN	1	-	-	-
"lrp"	"leuC"	1.91	1.04	NaN	1	-	-	-
"lrp"	"leuB"	1.56	1.05	NaN	1	-	-	-
"lrp"	"leuA"	1.60	1.23	NaN	1	-	-	-
"lrp"	"leuL"	4.36	1.63	NaN	1	-	-	-
"lrp"	"leuO"	-0.35	0.82	NaN	-1	-	-	-
"lrp"	"ilvI"	3.84	0.79	NaN	1	-	-	-
"lrp"	"cra"	0.52	0.18	NaN	1	-	-	-
"lrp"	"mraZ"	0.42	0.79	NaN	1	-	-	-
"lrp"	"rsmH"	0.71	0.82	NaN	1	-	-	-
"lrp"	"ftsL"	0.69	1.05	NaN	1	-	-	-
"lrp"	"murF"	0.20	1.43	NaN	1	-	-	-
"lrp"	"murD"	0.05	1.12	NaN	1	-	-	-
"lrp"	"murC"	0.02	0.85	NaN	1	-	-	-
"lrp"	"ddlB"	-0.40	0.05	NaN	-1	-	-	-
"lrp"	"ftsQ"	-0.38	0.30	NaN	-1	-	-	-
"lrp"	"ftsA"	0.00	0.27	NaN	-1	-	-	-
"lrp"	"ftsZ"	0.10	0.09	NaN	1	-	-	-
"lrp"	"lpxC"	-0.02	0.52	NaN	-1	-	-	-
"lrp"	"secM"	-0.19	0.23	NaN	-1	-	-	-
"lrp"	"secA"	-0.15	0.50	NaN	-1	-	-	-
"lrp"	"mutT"	0.25	0.42	NaN	1	-	-	-
"lrp"	"yacG"	-0.38	0.39	NaN	-1	-	-	-
"lrp"	"zapD"	-0.26	0.58	NaN	-1	-	-	-
"lrp"	"guaC"	-0.16	0.34	NaN	-1	-	-	-
"lrp"	"ppdD"	1.31	0.00	NaN	1	-	-	-
"lrp"	"nadC"	0.18	0.46	NaN	1	-	-	-
"lrp"	"ampD"	0.35	0.31	NaN	1	-	-	-
"lrp"	"aroP"	-0.28	0.81	NaN	-1	-	-	-
"lrp"	"pdhR"	-0.15	0.26	NaN	-1	-	-	-
"lrp"	"aceE"	-0.10	0.58	NaN	-1	-	-	-
"lrp"	"aceF"	-0.16	0.89	NaN	-1	-	-	-
"lrp"	"lpd"	0.20	0.26	NaN	1	-	-	-
"lrp"	"yacH"	-0.03	0.26	NaN	-1	-	-	-
"lrp"	"acnB"	0.04	0.44	NaN	1	-	-	-
"lrp"	"yacL"	0.45	0.63	NaN	1	-	-	-
"lrp"	"yacC"	0.29	0.96	NaN	1	-	-	-
"lrp"	"cueO"	-0.35	0.16	NaN	-1	-	-	-
"lrp"	"gcd"	0.74	0.61	NaN	1	-	-	-
"lrp"	"hpt"	0.06	0.34	NaN	1	-	-	-
"lrp"	"can"	0.19	0.39	NaN	1	-	-	-
"lrp"	"yadE"	0.17	0.38	NaN	1	-	-	-
"lrp"	"panD"	-0.17	0.61	NaN	-1	-	-	-
"lrp"	"yadD"	0.52	0.45	NaN	1	-	-	-
